name,bus,p_mw,q_mvar,sn_mva,soc_percent,min_e_mwh,max_e_mwh,scaling,in_service,type,evid,n_car
,1,-0.02810362726109101,0.0,,0.9605107118930253,0.0,0.945,1.0,True,,0.0,21.0
,2,-0.0020508992314338687,0.0,,0.7202122307618459,0.0,0.09,1.0,True,,1.0,2.0
,3,0.014941693412466657,0.0,,0.9897995533951409,0.0,0.31927,1.0,True,,2.0,7.0
,6,0.027157183668464424,0.0,,0.9981814986550146,0.0,0.99,1.0,True,,3.0,22.0
,7,-0.0024102547374921235,0.0,,0.9532394110115338,0.0,2.385,1.0,True,,4.0,30.0
,9,0.002497407336533076,0.0,,0.9770995881623692,0.0,0.225,1.0,True,,5.0,5.0
,11,-0.0029615555204451083,0.0,,0.9221134299365981,0.0,0.8745,1.0,True,,6.0,11.0
,13,0.010156580954790117,0.0,,0.8331138674076961,0.0,0.27365999999999996,1.0,True,,7.0,6.0
,14,-0.009675348421670497,0.0,,0.9595371880162413,0.0,0.636,1.0,True,,8.0,8.0
,15,0.007183575000000013,0.0,,1.0,0.0,0.13682999999999998,1.0,True,,9.0,3.0
,16,-0.0057667553736394615,0.0,,0.9789515326228666,0.0,0.41049,1.0,False,,10.0,9.0
,17,0.008839675569534302,0.0,,0.988039976924658,0.0,0.192,1.0,True,,11.0,3.0
,18,-0.0034302420079135865,0.0,,0.9746435430633789,0.0,0.41049,1.0,True,,12.0,9.0
,19,0.0005389839899540023,0.0,,0.9847108124215156,0.0,0.128,1.0,True,,13.0,2.0
,20,0.011222901997747337,0.0,,0.9949742535792554,0.0,0.77537,1.0,True,,14.0,17.0
,22,0.0111,0.0,,0.9634722222222224,0.0,0.135,1.0,True,,15.0,3.0
,23,-0.008415299676418301,0.0,,0.9765638678194954,0.0,0.512,1.0,True,,16.0,8.0
,25,0.009690637729167942,0.0,,0.9982825016975404,0.0,0.135,1.0,True,,17.0,3.0
,28,3.2719850279388195e-05,0.0,,0.9626135538919932,0.0,0.09,1.0,True,,18.0,2.0
,29,-0.008088457137811936,0.0,,0.9607756508048625,0.0,0.45,1.0,True,,19.0,10.0
