name,bus,p_mw,q_mvar,sn_mva,soc_percent,min_e_mwh,max_e_mwh,scaling,in_service,type,evid,n_car
,1,0.0014448450598893575,0.0,,0.9665999097201168,0.0,0.945,1.0,True,,0.0,21.0
,2,0.0030877729003047083,0.0,,0.9758205337951626,0.0,4.23,1.0,True,,1.0,94.0
,3,0.0,0.0,,1.0,0.0,2.14367,1.0,True,,2.0,47.0
,4,0.0,0.0,,1.0,0.0,0.315,1.0,True,,3.0,7.0
,5,0.0033040620975261226,0.0,,0.975321787728175,0.0,0.8745,1.0,True,,4.0,11.0
,8,-0.006410880599551583,0.0,,0.9678483269048614,0.0,1.305,1.0,True,,5.0,29.0
,9,0.0033221050471560834,0.0,,0.9682543011874354,0.0,0.7155,1.0,True,,6.0,9.0
,10,-0.00018315812431103813,0.0,,0.9916936510281302,0.0,0.13682999999999998,1.0,True,,7.0,3.0
,11,-0.00015743910493034793,0.0,,0.9823913501292483,0.0,0.477,1.0,True,,8.0,6.0
,12,-6.630759239197037e-05,0.0,,1.0,0.0,0.59293,1.0,True,,9.0,13.0
,13,-0.00017088876305725725,0.0,,0.9726325484553383,0.0,0.63854,1.0,True,,10.0,14.0
