0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
2,31,32,33.0,34.0,35.0,36.0,38.0,39.0,46.0,47.0,,,,,,,,,,,,,,,,,
5,7,23,33.0,34.0,55.0,56.0,,,,,,,,,,,,,,,,,,,,,
5,7,29,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,41.0,55.0,56.0,,,,,,,,,,,,,
5,11,17,23.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,46.0,47.0,48.0,49.0,56.0,,,,,,,,,
1,11,30,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,41.0,49.0,55.0,56.0,,,,,,,,,,,,,
3,17,31,32.0,33.0,56.0,,,,,,,,,,,,,,,,,,,,,,
7,8,11,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,4,5.0,17.0,20.0,21.0,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,41.0,46.0,47.0,48.0,49.0,55.0,56.0
1,20,21,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,41.0,55.0,56.0,,,,,,,,,
2,3,4,11.0,17.0,21.0,22.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,45.0,46.0,47.0,48.0,55.0,56.0,,,,,
1,2,3,5.0,7.0,17.0,23.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,48.0,49.0,,,,,,,,,,
3,5,7,8.0,33.0,55.0,56.0,,,,,,,,,,,,,,,,,,,,,
1,3,30,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,41.0,49.0,55.0,56.0,,,,,,,,,,,,,
1,5,11,30.0,31.0,32.0,33.0,34.0,35.0,39.0,41.0,55.0,56.0,,,,,,,,,,,,,,,
2,3,8,11.0,30.0,31.0,32.0,41.0,55.0,56.0,,,,,,,,,,,,,,,,,,
2,3,7,17.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,49.0,55.0,56.0,,,,,,,,,
5,11,30,32.0,49.0,56.0,,,,,,,,,,,,,,,,,,,,,,
3,5,11,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,49.0,55.0,56.0,,,,,,,,,,,,,,
1,3,5,11.0,30.0,31.0,32.0,33.0,34.0,55.0,56.0,,,,,,,,,,,,,,,,,
1,11,17,20.0,21.0,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,41.0,45.0,46.0,47.0,48.0,55.0,56.0,,
1,2,5,33.0,34.0,,,,,,,,,,,,,,,,,,,,,,,
3,4,5,17.0,20.0,21.0,22.0,23.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,45.0,46.0,47.0,48.0,49.0,56.0,,,
5,17,29,30.0,31.0,32.0,33.0,34.0,35.0,39.0,49.0,,,,,,,,,,,,,,,,,
20,21,22,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,45.0,46.0,47.0,48.0,49.0,55.0,56.0,,,,,
