0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2,3,4,5,6,7,8.0,10.0,17.0,18.0,19.0,23.0,24.0,25.0,27.0,28.0,29.0,,,,,,
1,4,5,6,7,8,9.0,10.0,16.0,18.0,19.0,20.0,23.0,24.0,25.0,27.0,28.0,29.0,,,,,
1,6,23,24,25,28,29.0,,,,,,,,,,,,,,,,
1,23,24,25,28,29,,,,,,,,,,,,,,,,,
5,7,17,18,19,23,24.0,25.0,27.0,28.0,29.0,,,,,,,,,,,,
18,19,20,23,24,28,29.0,,,,,,,,,,,,,,,,
3,4,5,6,7,8,10.0,18.0,19.0,23.0,24.0,25.0,27.0,28.0,29.0,,,,,,,,
1,23,24,25,28,29,,,,,,,,,,,,,,,,,
5,6,7,8,9,10,16.0,17.0,18.0,19.0,20.0,21.0,23.0,25.0,27.0,28.0,29.0,,,,,,
2,3,4,5,6,7,8.0,9.0,10.0,16.0,17.0,18.0,19.0,20.0,22.0,23.0,24.0,25.0,27.0,28.0,29.0,,
3,5,6,7,8,9,10.0,16.0,17.0,18.0,19.0,20.0,21.0,23.0,24.0,25.0,27.0,28.0,29.0,,,,
21,23,24,25,28,29,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7.0,8.0,9.0,10.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,27.0,28.0,29.0
3,4,5,6,7,8,10.0,18.0,19.0,21.0,22.0,23.0,24.0,25.0,27.0,28.0,29.0,,,,,,
1,7,23,24,25,26,28.0,29.0,,,,,,,,,,,,,,,
9,16,17,18,19,20,22.0,23.0,24.0,25.0,28.0,29.0,,,,,,,,,,,
1,6,17,18,19,23,24.0,25.0,28.0,29.0,,,,,,,,,,,,,
1,5,6,7,8,9,10.0,16.0,18.0,19.0,20.0,23.0,24.0,25.0,27.0,28.0,29.0,,,,,,
18,19,23,24,25,26,28.0,29.0,,,,,,,,,,,,,,,
1,9,17,18,19,20,23.0,24.0,25.0,28.0,29.0,,,,,,,,,,,,
2,3,4,5,6,7,8.0,9.0,10.0,16.0,17.0,18.0,19.0,25.0,27.0,28.0,29.0,,,,,,
1,3,4,5,6,7,8.0,10.0,18.0,19.0,20.0,21.0,24.0,25.0,26.0,27.0,28.0,29.0,,,,,
1,9,17,18,19,20,23.0,24.0,25.0,28.0,29.0,,,,,,,,,,,,
21,23,24,25,28,29,,,,,,,,,,,,,,,,,
