name,bus,p_mw,q_mvar,sn_mva,soc_percent,min_e_mwh,max_e_mwh,scaling,in_service,type,evid,n_car
,1,-0.002045547921398022,0.0,,0.9648969392852128,0.0,0.945,1.0,True,,0.0,21.0
,2,-0.030617407367355465,0.0,,0.9699552215626357,0.0,4.23,1.0,True,,1.0,94.0
,3,0.0,0.0,,1.0,0.0,2.14367,1.0,True,,2.0,47.0
,4,0.0,0.0,,1.0,0.0,0.315,1.0,True,,3.0,7.0
,5,0.015183568345784111,0.0,,0.9549113410883726,0.0,0.8745,1.0,True,,4.0,11.0
,8,-0.005868490665972198,0.0,,0.9636580071499348,0.0,1.305,1.0,True,,5.0,29.0
,9,0.00786804540753365,0.0,,0.08710154777261904,0.0,0.7155,1.0,True,,6.0,9.0
,10,-0.0002320761542849801,0.0,,0.9831247634130326,0.0,0.13682999999999998,1.0,True,,7.0,3.0
,11,0.0006406085542432841,0.0,,0.9830403786857761,0.0,0.477,1.0,True,,8.0,6.0
,12,-1.5936923103372636e-05,0.0,,0.9979384469066327,0.0,0.59293,1.0,True,,9.0,13.0
,13,0.001447801179128419,0.0,,0.9697054713832316,0.0,0.63854,1.0,True,,10.0,14.0
