0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2,4,5.0,8.0,11.0,33.0,34.0,,,,,,,,,,,,,,,,,,,,
1,5,7.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,,,,,,,,,,,,,,,,
3,7,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,55.0,56.0,,,,,,,,,,,
11,30,31.0,32.0,33.0,55.0,56.0,,,,,,,,,,,,,,,,,,,,
3,8,30.0,31.0,32.0,,,,,,,,,,,,,,,,,,,,,,
1,2,3.0,5.0,7.0,17.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,,,,,,,,,,,,,,
1,32,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,17.0,20.0,21.0,22.0,23.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,41.0,45.0,46.0,47.0,48.0,49.0,55.0,56.0,,
8,30,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,48.0,49.0,,,,,,,,,,,,,,,
1,7,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,7.0,17.0,23.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,55.0,56.0,,,,,,,,,,,
1,7,8.0,17.0,20.0,21.0,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,45.0,46.0,47.0,55.0,56.0,,
22,23,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,46.0,56.0,,,,,,,,,,,,,,,
1,7,20.0,21.0,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,41.0,45.0,46.0,47.0,48.0,55.0,56.0,,
1,2,20.0,21.0,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,45.0,46.0,47.0,56.0,,,,,
11,56,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,11.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,39.0,49.0,55.0,56.0,,,,,,,,,,,,,
5,33,34.0,35.0,36.0,38.0,39.0,41.0,55.0,56.0,,,,,,,,,,,,,,,,,
3,17,56.0,,,,,,,,,,,,,,,,,,,,,,,,
1,7,11.0,20.0,21.0,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,55.0,56.0,,,,,,
3,5,22.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,46.0,47.0,49.0,55.0,56.0,,,,,,,,,,
1,2,3.0,5.0,11.0,20.0,21.0,22.0,23.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,41.0,46.0,47.0,48.0,49.0,55.0,56.0
1,2,5.0,20.0,21.0,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,46.0,47.0,48.0,49.0,55.0,56.0,,
1,2,3.0,5.0,9.0,55.0,56.0,,,,,,,,,,,,,,,,,,,,
