name,bus,p_mw,q_mvar,sn_mva,soc_percent,min_e_mwh,max_e_mwh,scaling,in_service,type,evid,n_car
,1,-0.017055652400068927,0.0,,0.9589516905819376,0.0,0.945,1.0,True,,0.0,21.0
,2,-0.0034758889237418754,0.0,,0.95405,0.0,0.09,1.0,True,,1.0,2.0
,3,0.01325574368827194,0.0,,0.9930189140485229,0.0,0.31927,1.0,True,,2.0,7.0
,6,0.0814,0.0,,0.9977222222222222,0.0,0.99,1.0,True,,3.0,22.0
,7,0.00031923579471185293,0.0,,0.9443838514862524,0.0,2.385,1.0,True,,4.0,30.0
,9,0.002879325494728982,0.0,,0.9825470021987954,0.0,0.225,1.0,True,,5.0,5.0
,11,-0.009326117691278425,0.0,,0.9528354857732664,0.0,0.8745,1.0,True,,6.0,11.0
,13,0.010415328633785251,0.0,,0.8935593752604885,0.0,0.27365999999999996,1.0,True,,7.0,6.0
,14,-0.013537757321923954,0.0,,0.9702142180472894,0.0,0.636,1.0,True,,8.0,8.0
,15,0.0111,0.0,,0.8906225608419205,0.0,0.13682999999999998,1.0,True,,9.0,3.0
,16,0.01936590287089348,0.0,,0.934677526543627,0.0,0.41049,1.0,True,,10.0,9.0
,17,0.002984550593376172,0.0,,0.9920445343405009,0.0,0.192,1.0,True,,11.0,3.0
,18,0.011907214073580322,0.0,,0.9605073182625163,0.0,0.41049,1.0,True,,12.0,9.0
,19,-0.0004902984132766778,0.0,,0.9876695436462758,0.0,0.128,1.0,True,,13.0,2.0
,20,0.007774620185709444,0.0,,0.9987769809068049,0.0,0.77537,1.0,True,,14.0,17.0
,22,0.0111,0.0,,0.8157222222222222,0.0,0.135,1.0,True,,15.0,3.0
,23,-0.0056204774599075,0.0,,0.9737725049611181,0.0,0.512,1.0,True,,16.0,8.0
,25,0.005298750000000003,0.0,,1.0,0.0,0.135,1.0,True,,17.0,3.0
,28,-0.00215748917132616,0.0,,0.974027898096376,0.0,0.09,1.0,True,,18.0,2.0
,29,0.0018113741513341927,0.0,,0.9495252758918536,0.0,0.45,1.0,True,,19.0,10.0
