name,bus,p_mw,q_mvar,sn_mva,soc_percent,min_e_mwh,max_e_mwh,scaling,in_service,type,evid,n_car
,1,0.002125162871216432,0.0,,0.9594667990753264,0.0,0.945,1.0,True,,0.0,21.0
,2,0.01017528563532516,0.0,,0.9651893054830036,0.0,4.23,1.0,True,,1.0,94.0
,3,0.1739,0.0,,0.8546371409778558,0.0,2.14367,1.0,True,,2.0,47.0
,4,0.0,0.0,,1.0,0.0,0.315,1.0,True,,3.0,7.0
,5,0.011362002146244048,0.0,,0.6026457294747843,0.0,0.8745,1.0,True,,4.0,11.0
,8,-0.006935980861726074,0.0,,0.9585867994168383,0.0,1.305,1.0,True,,5.0,29.0
,9,0.0016849220435653928,0.0,,0.9654568167130573,0.0,0.7155,1.0,True,,6.0,9.0
,10,0.00039053618813547457,0.0,,0.9841779414783175,0.0,0.13682999999999998,1.0,True,,7.0,3.0
,11,0.011100492238998411,0.0,,0.1949355078945752,0.0,0.477,1.0,True,,8.0,6.0
,12,-0.0015989371547688522,0.0,,0.9998943508104883,0.0,0.59293,1.0,True,,9.0,13.0
,13,0.0037189373081062058,0.0,,0.9674618574451803,0.0,0.63854,1.0,True,,10.0,14.0
