name,bus,p_mw,q_mvar,sn_mva,soc_percent,min_e_mwh,max_e_mwh,scaling,in_service,type,evid,n_car
,1,0.004958091680845544,0.0,,0.9574488614733118,0.0,0.945,1.0,True,,0.0,21.0
,2,-0.017438598476351597,0.0,,0.969623503621452,0.0,4.23,1.0,True,,1.0,94.0
,3,0.0,0.0,,1.0,0.0,2.14367,1.0,True,,2.0,47.0
,4,0.0,0.0,,1.0,0.0,0.315,1.0,True,,3.0,7.0
,5,0.004287250000753008,0.0,,0.9724935943501617,0.0,0.8745,1.0,True,,4.0,11.0
,8,-0.01184788270105519,0.0,,0.9655219751596977,0.0,1.305,1.0,True,,5.0,29.0
,9,-0.000996955684083492,0.0,,0.9678324714077173,0.0,0.7155,1.0,True,,6.0,9.0
,10,0.0010342201200777765,0.0,,0.9720337439655664,0.0,0.13682999999999998,1.0,True,,7.0,3.0
,11,0.009309337735176084,0.0,,0.9467691515053807,0.0,0.477,1.0,True,,8.0,6.0
,12,0.002418454211969699,0.0,,0.9958201687470406,0.0,0.59293,1.0,True,,9.0,13.0
,13,0.001806466092004591,0.0,,0.9680934387624055,0.0,0.63854,1.0,True,,10.0,14.0
