name,bus,p_mw,q_mvar,sn_mva,soc_percent,min_e_mwh,max_e_mwh,scaling,in_service,type,evid,n_car
,1,0.010130839590087273,0.0,,0.941030835832083,0.0,0.945,1.0,True,,0.0,21.0
,2,0.15783270666737548,0.0,,0.9234996342518487,0.0,4.23,1.0,True,,1.0,94.0
,3,0.0,0.0,,1.0,0.0,2.14367,1.0,True,,2.0,47.0
,4,0.0,0.0,,1.0,0.0,0.315,1.0,True,,3.0,7.0
,5,0.0036727162325041335,0.0,,0.9726467293122888,0.0,0.8745,1.0,True,,4.0,11.0
,8,0.0034290646827119103,0.0,,0.9636823386348641,0.0,1.305,1.0,True,,5.0,29.0
,9,0.00333416792932531,0.0,,0.9647097625804474,0.0,0.7155,1.0,True,,6.0,9.0
,10,0.00315566674235784,0.0,,0.9665101331120135,0.0,0.13682999999999998,1.0,True,,7.0,3.0
,11,0.0025305724865764267,0.0,,0.9802178652156178,0.0,0.477,1.0,True,,8.0,6.0
,12,0.020869251944032136,0.0,,0.9629383752736229,0.0,0.59293,1.0,True,,9.0,13.0
,13,0.024690241503715515,0.0,,0.9034864436402311,0.0,0.63854,1.0,True,,10.0,14.0
