0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,2,7,8,23,29.0,30.0,31.0,32.0,33.0,34.0,41.0,55.0,56.0,,,,,,,,,,,,
1,8,31,32,33,34.0,49.0,56.0,,,,,,,,,,,,,,,,,,
3,17,31,32,33,34.0,35.0,36.0,38.0,39.0,48.0,49.0,56.0,,,,,,,,,,,,,
3,7,11,17,21,22.0,23.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,46.0,47.0,48.0,49.0,55.0,56.0,,
2,3,5,11,17,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,56.0,,,,,,,,,
11,23,24,29,30,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,49.0,55.0,56.0,,,,,,,,,,
3,4,17,29,30,31.0,32.0,,,,,,,,,,,,,,,,,,,
1,3,11,17,21,22.0,23.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,41.0,55.0,56.0,,,,,,,
3,5,17,29,30,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,49.0,56.0,,,,,,,,,,,
3,23,29,30,31,32.0,33.0,,,,,,,,,,,,,,,,,,,
11,20,21,22,23,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,41.0,47.0,48.0,55.0,56.0,,,,
1,2,3,4,5,7.0,8.0,11.0,17.0,31.0,32.0,,,,,,,,,,,,,,,
3,7,17,30,31,32.0,,,,,,,,,,,,,,,,,,,,
1,2,8,11,20,21.0,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,46.0,47.0,48.0,49.0,55.0,56.0
1,7,23,30,31,32.0,33.0,34.0,35.0,36.0,38.0,39.0,56.0,,,,,,,,,,,,,
5,7,8,17,23,24.0,29.0,30.0,31.0,32.0,33.0,34.0,,,,,,,,,,,,,,
1,20,21,22,23,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,45.0,46.0,47.0,48.0,55.0,56.0,,,
3,4,7,30,31,32.0,33.0,34.0,55.0,56.0,,,,,,,,,,,,,,,,
3,4,8,17,49,,,,,,,,,,,,,,,,,,,,,
1,2,21,22,31,32.0,33.0,34.0,35.0,36.0,38.0,39.0,46.0,47.0,48.0,49.0,55.0,56.0,,,,,,,,
2,8,49,55,56,,,,,,,,,,,,,,,,,,,,,
7,11,20,21,22,23.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,41.0,46.0,47.0,48.0,49.0,55.0,56.0,,
11,23,24,29,30,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,55.0,56.0,,,,,,,,,,,
2,8,11,30,31,32.0,33.0,34.0,35.0,36.0,38.0,39.0,41.0,55.0,56.0,,,,,,,,,,,
