0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
7,8,20,21,22,23,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,45.0,46.0,47.0,48.0,49.0,56.0,,
3,4,11,17,23,24,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,41.0,55.0,56.0,,,,,,,
3,4,7,31,32,33,34.0,35.0,36.0,38.0,39.0,46.0,55.0,56.0,,,,,,,,,,,,
3,4,5,17,20,21,22.0,23.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,45.0,46.0,47.0,48.0,49.0,,,,
1,2,3,17,21,22,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,45.0,46.0,47.0,48.0,55.0,56.0,
1,3,17,31,32,33,34.0,35.0,36.0,38.0,39.0,41.0,55.0,56.0,,,,,,,,,,,,
20,21,22,23,24,29,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,46.0,47.0,,,,,,,,
2,8,9,23,24,29,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,41.0,55.0,56.0,,,,,,,,
1,3,17,21,22,23,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,46.0,55.0,56.0,,,,,,
11,30,31,32,33,34,35.0,36.0,38.0,39.0,49.0,55.0,56.0,,,,,,,,,,,,,
2,11,21,22,23,24,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,41.0,48.0,55.0,56.0,,,,,,
20,21,22,23,30,31,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,41.0,45.0,46.0,47.0,48.0,49.0,55.0,56.0,,,,
3,7,17,31,32,33,34.0,41.0,55.0,56.0,,,,,,,,,,,,,,,,
1,7,21,22,23,31,32.0,33.0,34.0,35.0,36.0,38.0,39.0,41.0,55.0,56.0,,,,,,,,,,
1,3,4,7,11,17,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,39.0,55.0,56.0,,,,,,,,
2,3,5,17,21,22,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,45.0,46.0,47.0,48.0,49.0,56.0,
1,2,3,4,17,30,31.0,32.0,33.0,41.0,55.0,56.0,,,,,,,,,,,,,,
3,11,17,29,30,31,32.0,33.0,34.0,35.0,36.0,38.0,39.0,41.0,55.0,56.0,,,,,,,,,,
2,7,33,34,49,56,,,,,,,,,,,,,,,,,,,,
5,7,8,29,30,31,32.0,33.0,34.0,35.0,36.0,38.0,39.0,55.0,56.0,,,,,,,,,,,
2,5,20,21,22,30,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,45.0,46.0,47.0,48.0,49.0,,,,,,
3,7,17,23,29,30,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,46.0,47.0,49.0,56.0,,,,,,,,
3,8,17,31,32,33,34.0,35.0,56.0,,,,,,,,,,,,,,,,,
5,7,11,20,21,22,23.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,41.0,45.0,46.0,47.0,48.0,49.0,55.0,56.0
