0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
2,3,17.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,,,,,,,,,,,,,
3,31,32.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,11.0,20.0,21.0,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,41.0,55.0,56.0,,,,,,
3,8,11.0,17.0,30.0,31.0,32.0,33.0,34.0,41.0,49.0,55.0,56.0,,,,,,,,,,,,,,,
2,3,33.0,34.0,55.0,56.0,,,,,,,,,,,,,,,,,,,,,,
11,20,21.0,22.0,23.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,46.0,47.0,48.0,49.0,56.0,,,,,,,,
5,20,21.0,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,41.0,43.0,45.0,46.0,47.0,48.0,49.0,55.0,56.0,,
1,2,3.0,33.0,34.0,35.0,39.0,49.0,56.0,,,,,,,,,,,,,,,,,,,
3,8,11.0,17.0,31.0,32.0,33.0,34.0,55.0,56.0,,,,,,,,,,,,,,,,,,
2,6,30.0,31.0,32.0,33.0,34.0,49.0,56.0,,,,,,,,,,,,,,,,,,,
1,2,7.0,20.0,21.0,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,41.0,43.0,45.0,46.0,47.0,48.0,49.0,55.0,56.0
2,5,30.0,31.0,32.0,33.0,34.0,41.0,49.0,55.0,56.0,,,,,,,,,,,,,,,,,
20,21,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,41.0,45.0,46.0,47.0,55.0,56.0,,,,,,
5,8,11.0,30.0,31.0,32.0,,,,,,,,,,,,,,,,,,,,,,
3,4,8.0,17.0,30.0,31.0,32.0,33.0,34.0,,,,,,,,,,,,,,,,,,,
7,20,21.0,22.0,23.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,46.0,47.0,48.0,49.0,,,,,,,,
1,2,3.0,7.0,8.0,17.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,41.0,55.0,56.0,,,,,,,,,,,,
5,29,30.0,31.0,32.0,33.0,34.0,35.0,39.0,55.0,56.0,,,,,,,,,,,,,,,,,
1,2,3.0,7.0,11.0,17.0,31.0,32.0,33.0,34.0,35.0,46.0,,,,,,,,,,,,,,,,
8,20,21.0,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,41.0,43.0,45.0,46.0,47.0,48.0,49.0,55.0,56.0,,
5,21,22.0,23.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,46.0,47.0,48.0,49.0,56.0,,,,,,,,,
1,11,20.0,21.0,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,41.0,43.0,45.0,46.0,47.0,48.0,49.0,55.0,56.0,
2,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,55.0,56.0,,,,,,,,,,,,,,,
