name,bus,p_mw,q_mvar,sn_mva,soc_percent,min_e_mwh,max_e_mwh,scaling,in_service,type,evid,n_car
,0,-0.0011212448492647076,0.0,,0.9810469717780749,0.0,2.475,1.0,True,,0.0,55.0
,1,-0.005459115135669708,0.0,,0.9435621101061503,0.0,0.135,1.0,True,,1.0,3.0
,2,-0.03107890014518258,0.0,,0.9343803561771421,0.0,1.87001,1.0,True,,2.0,41.0
,4,-0.005098938544094558,0.0,,0.9752838657365903,0.0,0.585,1.0,True,,3.0,13.0
,5,-0.13338767154654493,0.0,,0.9593789020467011,0.0,5.9625,1.0,True,,4.0,75.0
,7,-0.20027001865833854,0.0,,0.946830367606172,0.0,6.75,1.0,True,,5.0,150.0
,8,0.06789989311304706,0.0,,0.9730585678167313,0.0,9.6195,1.0,True,,6.0,121.0
,9,0.01373374593257904,0.0,,0.5882225210812498,0.0,0.22805,1.0,True,,7.0,5.0
,11,1.0210553170204164,0.0,,0.9820675413983422,0.0,29.9715,1.0,True,,8.0,377.0
,12,-0.015398193660324869,0.0,,0.9712441305996189,0.0,0.82098,1.0,True,,9.0,18.0
,13,-0.0007166806006431783,0.0,,0.9484286766045974,0.0,0.4561,1.0,True,,10.0,10.0
,14,-0.014950763485074042,0.0,,0.9813815600248054,0.0,1.408,1.0,True,,11.0,22.0
,15,0.05197259500000015,0.0,,1.0,0.0,1.96123,1.0,True,,12.0,43.0
,16,-0.04397296598768223,0.0,,0.9721410096772014,0.0,2.688,1.0,True,,13.0,42.0
,17,0.07377707880735397,0.0,,0.9671597654082958,0.0,1.23147,1.0,True,,14.0,27.0
,18,-0.00012080145053565243,0.0,,0.9601051744404768,0.0,0.135,1.0,True,,15.0,3.0
,19,-0.00314780403076112,0.0,,0.9636577810096787,0.0,0.128,1.0,True,,16.0,2.0
,22,-0.004603529396206129,0.0,,0.9634498911251624,0.0,0.27,1.0,True,,17.0,6.0
,24,-0.00829372219081968,0.0,,0.9472825104043715,0.0,0.27,1.0,True,,18.0,6.0
,26,0.014378969040513043,0.0,,0.813003627260526,0.0,0.405,1.0,True,,19.0,9.0
,27,0.005358147938251526,0.0,,0.989930265383795,0.0,0.256,1.0,True,,20.0,4.0
,28,0.005579552672058341,0.0,,0.850628265323583,0.0,1.088,1.0,True,,21.0,17.0
,29,-0.002489869767843343,0.0,,0.9760531881324028,0.0,0.13682999999999998,1.0,True,,22.0,3.0
,30,-0.005036893554367103,0.0,,0.9800785696745481,0.0,0.3975,1.0,True,,23.0,5.0
,31,-0.003114797940790653,0.0,,0.9568201516881678,0.0,0.0795,1.0,True,,24.0,1.0
,32,0.005145076525211333,0.0,,0.2606019624732247,0.0,0.13682999999999998,1.0,True,,25.0,3.0
,34,-0.0013352624595165258,0.0,,0.6457007076320407,0.0,0.477,1.0,True,,26.0,6.0
,37,-0.012818893085887684,0.0,,0.9719825758437668,0.0,1.113,1.0,True,,27.0,14.0
,40,-0.007548433591913812,0.0,,0.9559167448954402,0.0,0.27365999999999996,1.0,True,,28.0,6.0
,41,9.059736278684699e-05,0.0,,0.9657837640955518,0.0,0.31927,1.0,True,,29.0,7.0
,42,0.002601791385710239,0.0,,0.9744087931745582,0.0,0.09,1.0,True,,30.0,2.0
,43,-0.011050328997373564,0.0,,0.9778615507846697,0.0,0.768,1.0,True,,31.0,12.0
,46,0.08177742116451264,0.0,,0.9733265966813938,0.0,1.3226900000000001,1.0,True,,32.0,29.0
,48,-0.017275693308413054,0.0,,0.9675037384475581,0.0,1.152,1.0,True,,33.0,18.0
,49,0.00835670433595781,0.0,,0.9512177859642543,0.0,1.344,1.0,True,,34.0,21.0
,50,0.022083653622865684,0.0,,0.689432322587607,0.0,1.431,1.0,True,,35.0,18.0
,51,-0.0010435384252667369,0.0,,0.9482025643040736,0.0,0.18,1.0,True,,36.0,4.0
,52,0.0004485197756439463,0.0,,0.92478208790921,0.0,1.59,1.0,True,,37.0,20.0
,53,-0.010950216983795166,0.0,,0.9462257149070502,0.0,0.256,1.0,True,,38.0,4.0
,54,0.002469821248948574,0.0,,0.7996,0.0,0.27,1.0,True,,39.0,6.0
,55,-0.0010820413052552262,0.0,,0.9621108895127783,0.0,0.31927,1.0,True,,40.0,7.0
,56,0.007294988193511973,0.0,,0.9799973650872709,0.0,0.384,1.0,True,,41.0,6.0
