0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
2,3,17,24,29.0,30.0,31.0,32.0,33.0,34.0,55.0,56.0,,,,,,,,,,,,,,,,
8,11,31,32,,,,,,,,,,,,,,,,,,,,,,,,
2,5,7,8,11.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,46.0,56.0,,,,,,,,,,,,,
7,31,32,33,34.0,55.0,56.0,,,,,,,,,,,,,,,,,,,,,
3,9,11,30,31.0,32.0,41.0,55.0,56.0,,,,,,,,,,,,,,,,,,,
3,11,17,23,24.0,29.0,30.0,31.0,32.0,33.0,,,,,,,,,,,,,,,,,,
1,3,17,20,21.0,22.0,23.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,46.0,47.0,48.0,49.0,55.0,56.0,,,,
1,3,4,8,21.0,22.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,46.0,47.0,55.0,56.0,,,,,,,,
7,21,22,23,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,45.0,46.0,47.0,48.0,49.0,56.0,,,,,,,
5,21,22,23,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,41.0,55.0,56.0,,,,,,,,,,,,
1,2,3,4,5.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,41.0,48.0,49.0,55.0,56.0,,,,,,,,,,
23,24,29,30,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,55.0,56.0,,,,,,,,,,,,,,
3,4,17,55,56.0,,,,,,,,,,,,,,,,,,,,,,,
3,4,5,7,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,,,,,,,,,,,,,,,,
23,29,30,31,32.0,33.0,34.0,35.0,39.0,55.0,56.0,,,,,,,,,,,,,,,,,
3,21,22,23,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,46.0,47.0,,,,,,,,,,,
3,11,17,30,31.0,32.0,33.0,34.0,35.0,56.0,,,,,,,,,,,,,,,,,,
3,4,5,8,17.0,20.0,21.0,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,41.0,46.0,47.0,48.0,49.0,55.0,56.0
3,8,11,17,20.0,21.0,22.0,23.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,45.0,46.0,47.0,48.0,55.0,56.0,,,,
31,32,33,34,35.0,36.0,38.0,39.0,41.0,55.0,56.0,,,,,,,,,,,,,,,,,
1,3,8,17,21.0,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,46.0,47.0,48.0,49.0,55.0,56.0,,,
3,7,8,11,17.0,,,,,,,,,,,,,,,,,,,,,,,
1,8,11,32,33.0,34.0,56.0,,,,,,,,,,,,,,,,,,,,,
3,4,5,8,17.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,55.0,56.0,,,,,,,,,,,,,
