0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
3,7,8,17.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,,,,,,,,,,,,,,,
20,21,22,23.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,45.0,46.0,47.0,55.0,56.0,,,,,,,,
8,20,21,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,43.0,45.0,46.0,47.0,48.0,49.0,55.0,56.0,,,
30,31,32,56.0,,,,,,,,,,,,,,,,,,,,,,,,
1,7,30,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,48.0,49.0,56.0,,,,,,,,,,,,,,
7,11,30,31.0,32.0,33.0,34.0,35.0,38.0,39.0,56.0,,,,,,,,,,,,,,,,,
3,5,8,17.0,21.0,22.0,23.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,41.0,45.0,46.0,47.0,48.0,49.0,55.0,56.0,,,
1,3,4,17.0,29.0,30.0,31.0,32.0,33.0,34.0,49.0,,,,,,,,,,,,,,,,,
5,8,56,,,,,,,,,,,,,,,,,,,,,,,,,
8,20,21,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,45.0,46.0,47.0,48.0,49.0,55.0,56.0,,,,
2,8,11,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4.0,7.0,17.0,30.0,31.0,32.0,56.0,,,,,,,,,,,,,,,,,,
1,3,7,17.0,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,7.0,17.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,41.0,49.0,55.0,56.0,,,,,,,,,
3,5,22,23.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,49.0,55.0,56.0,,,,,,,,,,,
2,5,7,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,30,31.0,32.0,33.0,34.0,,,,,,,,,,,,,,,,,,,,,
8,30,31,32.0,33.0,41.0,49.0,55.0,56.0,,,,,,,,,,,,,,,,,,,
1,2,7,8.0,11.0,20.0,21.0,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,41.0,46.0,47.0,48.0,49.0,55.0,56.0
1,3,5,7.0,11.0,17.0,55.0,56.0,,,,,,,,,,,,,,,,,,,,
1,2,20,21.0,22.0,23.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,41.0,45.0,46.0,47.0,48.0,49.0,55.0,56.0,,,
3,4,5,30.0,31.0,32.0,33.0,34.0,56.0,,,,,,,,,,,,,,,,,,,
30,31,32,33.0,34.0,35.0,48.0,49.0,,,,,,,,,,,,,,,,,,,,
31,32,33,34.0,35.0,36.0,38.0,39.0,41.0,49.0,55.0,56.0,,,,,,,,,,,,,,,,
