name,bus,p_mw,q_mvar,sn_mva,soc_percent,min_e_mwh,max_e_mwh,scaling,in_service,type,evid,n_car
,1,0.014330448599159717,0.0,,0.9151644958721266,0.0,0.945,1.0,True,,0.0,21.0
,2,-0.003298323932290074,0.0,,0.920851956307888,0.0,0.09,1.0,True,,1.0,2.0
,3,-0.0013879974773138778,0.0,,0.9926525903551418,0.0,0.31927,1.0,True,,2.0,7.0
,6,0.015540542645603492,0.0,,0.9951975178238418,0.0,0.99,1.0,True,,3.0,22.0
,7,-0.0421136424049042,0.0,,0.9715922882998306,0.0,2.385,1.0,True,,4.0,30.0
,9,-0.0006372826252132521,0.0,,0.9786676327768299,0.0,0.225,1.0,True,,5.0,5.0
,11,-0.002581091714650395,0.0,,0.9117984943228697,0.0,0.8745,1.0,True,,6.0,11.0
,13,0.010120560175180437,0.0,,0.8812322413768194,0.0,0.27365999999999996,1.0,True,,7.0,6.0
,14,-0.002858245289325715,0.0,,0.9330059036331356,0.0,0.636,1.0,True,,8.0,8.0
,15,0.0111,0.0,,0.9893725608419206,0.0,0.13682999999999998,1.0,True,,9.0,3.0
,16,0.019375505501031877,0.0,,0.8827009196351479,0.0,0.41049,1.0,True,,10.0,9.0
,17,0.009182205766439437,0.0,,0.8845739883668721,0.0,0.192,1.0,True,,11.0,3.0
,18,-0.008270476846494824,0.0,,0.976852184349205,0.0,0.41049,1.0,True,,12.0,9.0
,19,-0.0013192523751258851,0.0,,0.9856933408193288,0.0,0.128,1.0,True,,13.0,2.0
,20,0.04981692971455909,0.0,,0.9937492354805566,0.0,0.77537,1.0,True,,14.0,17.0
,22,0.0111,0.0,,0.9882222222222223,0.0,0.135,1.0,True,,15.0,3.0
,23,0.006768711423873905,0.0,,0.9517201394997538,0.0,0.512,1.0,True,,16.0,8.0
,25,0.0011605150915682452,0.0,,0.9973464080856906,0.0,0.135,1.0,True,,17.0,3.0
,28,-0.0012517291420698169,0.0,,0.9700918984214465,0.0,0.09,1.0,True,,18.0,2.0
,29,0.009250088214874268,0.0,,0.7815557515886096,0.0,0.45,1.0,True,,19.0,10.0
