name,bus,p_mw,q_mvar,sn_mva,soc_percent,min_e_mwh,max_e_mwh,scaling,in_service,type,evid,n_car
,1,0.005665468517677852,0.0,,0.9550842767505581,0.0,0.945,1.0,True,,0.0,21.0
,2,0.03237946631161964,0.0,,0.9666647296354258,0.0,4.23,1.0,True,,1.0,94.0
,3,0.0,0.0,,1.0,0.0,2.14367,1.0,True,,2.0,47.0
,4,0.0,0.0,,1.0,0.0,0.315,1.0,True,,3.0,7.0
,5,0.004812122646436934,0.0,,0.9750724659613293,0.0,0.8745,1.0,True,,4.0,11.0
,8,-0.007085818947059702,0.0,,0.9689801092877132,0.0,1.305,1.0,True,,5.0,29.0
,9,0.009868514621257783,0.0,,0.8431460571657318,0.0,0.7155,1.0,True,,6.0,9.0
,10,0.00048109804601307975,0.0,,0.9807895060196249,0.0,0.13682999999999998,1.0,True,,7.0,3.0
,11,0.004723190974059842,0.0,,0.9735457131819985,0.0,0.477,1.0,True,,8.0,6.0
,12,0.0020359697809325464,0.0,,0.9961067957983705,0.0,0.59293,1.0,True,,9.0,13.0
,13,0.006052348902615065,0.0,,0.9558666568298543,0.0,0.63854,1.0,True,,10.0,14.0
