name,bus,p_mw,q_mvar,sn_mva,soc_percent,min_e_mwh,max_e_mwh,scaling,in_service,type,evid,n_car
,1,0.0030183710955083293,0.0,,0.9456940434873103,0.0,0.945,1.0,True,,0.0,21.0
,2,-0.004226703885197639,0.0,,0.9310366234978041,0.0,0.09,1.0,True,,1.0,2.0
,3,0.021423311257362368,0.0,,0.9788509216567869,0.0,0.31927,1.0,True,,2.0,7.0
,6,0.046360961204022166,0.0,,0.9963292537414364,0.0,0.99,1.0,True,,3.0,22.0
,7,-0.03927008660854818,0.0,,0.9692845548811118,0.0,2.385,1.0,True,,4.0,30.0
,9,-0.00039035463333129614,0.0,,0.9792650905185276,0.0,0.225,1.0,True,,5.0,5.0
,11,-0.016651278997081326,0.0,,0.9699590863383861,0.0,0.8745,1.0,False,,6.0,11.0
,13,0.0031035222827055405,0.0,,0.961590796180317,0.0,0.27365999999999996,1.0,True,,7.0,6.0
,14,-0.015820133956074713,0.0,,0.973125575540763,0.0,0.636,1.0,True,,8.0,8.0
,15,0.0012998849999999937,0.0,,1.0,0.0,0.13682999999999998,1.0,True,,9.0,3.0
,16,0.010327830028334643,0.0,,0.9689097603555132,0.0,0.41049,1.0,True,,10.0,9.0
,17,0.008918932664394379,0.0,,0.9844527742937208,0.0,0.192,1.0,True,,11.0,3.0
,18,0.008058425728830317,0.0,,0.9631312351794936,0.0,0.41049,1.0,True,,12.0,9.0
,19,0.004240750563144683,0.0,,0.9196249999999999,0.0,0.128,1.0,True,,13.0,2.0
,20,0.05747419220805168,0.0,,0.6391248593678522,0.0,0.77537,1.0,True,,14.0,17.0
,22,0.0023287499999999992,0.0,,1.0,0.0,0.135,1.0,True,,15.0,3.0
,23,0.007824874591827395,0.0,,0.951782958187163,0.0,0.512,1.0,True,,16.0,8.0
,25,0.00308377342745662,0.0,,0.9978427661293081,0.0,0.135,1.0,True,,17.0,3.0
,28,0.00281853911280632,0.0,,0.9463171012534036,0.0,0.09,1.0,True,,18.0,2.0
,29,-0.011681586302816849,0.0,,0.9665409193270736,0.0,0.45,1.0,True,,19.0,10.0
